City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Bengaluru,2015-01-01,,,3.26,17.33,10.88,20.36,0.33,3.54,10.73,0.56,4.64,,,
Bengaluru,2015-01-02,,,6.05,19.73,14.14,23.74,1.35,3.97,22.77,0.65,5.31,,,
Bengaluru,2015-01-03,,,11.91,19.88,20.72,4.32,17.4,13.61,12.03,0.53,19.25,,,
Bengaluru,2015-01-04,,,7.45,21.61,16.88,0.87,5.05,6.52,17.7,0.55,7.47,,,
Bengaluru,2015-01-05,,,9.52,22.17,21.76,31.38,1.83,4.71,12.72,0.4,4.36,,,
Bengaluru,2015-01-06,,,6.6,23.2,16.24,26.35,0.52,4.42,13.82,22.68,4.11,,,
Bengaluru,2015-01-07,,,22.6,28.66,30.84,22.73,1.46,5.13,16.98,34.66,8.65,,,
Bengaluru,2015-01-08,,,7.5,31.1,21.16,38.67,2.3,7.07,17.35,31.0,8.6,,,
Bengaluru,2015-01-09,,,6.75,25.98,15.03,23.48,0.54,12.84,16.27,30.51,8.44,,,
Bengaluru,2015-01-10,,,3.38,29.23,16.76,34.17,1.69,3.08,25.01,36.42,13.41,,,
Bengaluru,2015-01-11,,,3.97,29.84,17.49,29.74,2.59,8.2,16.07,44.91,27.67,,,
Bengaluru,2015-01-12,,,10.85,28.4,21.85,41.39,0.61,7.16,16.41,38.04,41.87,,,
Bengaluru,2015-01-13,,,10.65,30.56,22.9,35.34,0.63,6.51,10.34,39.44,14.6,,,
Bengaluru,2015-01-14,,,9.09,25.94,19.43,39.82,1.83,8.66,16.47,27.38,8.7,,,
Bengaluru,2015-01-15,,,6.79,20.64,15.92,21.43,3.29,6.24,19.35,25.84,15.67,,,
Bengaluru,2015-01-16,,,10.74,18.51,22.36,10.27,16.41,19.28,16.02,25.14,36.72,,,
Bengaluru,2015-01-17,,,8.17,17.37,21.64,11.05,15.98,24.91,14.33,24.29,21.54,,,
Bengaluru,2015-01-18,,,6.16,17.2,18.79,14.23,9.04,22.18,22.48,23.23,20.05,,,
Bengaluru,2015-01-19,,,7.83,16.74,19.44,13.47,8.09,27.99,23.34,21.14,14.85,,,
Bengaluru,2015-01-20,,,10.44,7.24,22.66,7.29,4.05,92.66,103.68,36.25,9.93,,,
Bengaluru,2015-01-21,,,7.02,5.45,18.26,5.07,18.3,82.07,,,,,,
Bengaluru,2015-01-22,,,17.15,13.57,29.6,3.65,3.32,57.51,41.95,23.36,39.25,,,
