location_id,location_name,city,latitude,longitude,sensor_id,parameter,units,unit_priority
50,"Punjabi Bagh, Delhi - DPCC",Delhi,28.674045,77.131023,395,pm10,µg/m³,0
50,"Punjabi Bagh, Delhi - DPCC",Delhi,28.674045,77.131023,396,pm25,µg/m³,0
6267807,"Srinivas Nagar Colony, Machilipatnam - APPCB",Patna,16.186555,81.13219,15653090,o3,µg/m³,0
6267807,"Srinivas Nagar Colony, Machilipatnam - APPCB",Patna,16.186555,81.13219,15653091,pm10,µg/m³,0
6267807,"Srinivas Nagar Colony, Machilipatnam - APPCB",Patna,16.186555,81.13219,15653092,pm25,µg/m³,0
7850,"Bandra, Mumbai - MPCB",Mumbai,19.0627,72.84614,36455,co,µg/m³,0
7850,"Bandra, Mumbai - MPCB",Mumbai,19.0627,72.84614,36453,no2,µg/m³,0
7850,"Bandra, Mumbai - MPCB",Mumbai,19.0627,72.84614,36451,o3,µg/m³,0
7850,"Bandra, Mumbai - MPCB",Mumbai,19.0627,72.84614,22798,pm10,µg/m³,0
7850,"Bandra, Mumbai - MPCB",Mumbai,19.0627,72.84614,36447,pm25,µg/m³,0
7850,"Bandra, Mumbai - MPCB",Mumbai,19.0627,72.84614,36446,so2,µg/m³,0
8039,Mumbai,Mumbai,19.07283,72.88261,23320,pm25,µg/m³,0
8092,"East Arjun Nagar, Delhi - CPCB",Delhi,28.655935,77.294904,23669,no2,µg/m³,0
8092,"East Arjun Nagar, Delhi - CPCB",Delhi,28.655935,77.294904,23465,o3,µg/m³,0
8092,"East Arjun Nagar, Delhi - CPCB",Delhi,28.655935,77.294904,34750,so2,µg/m³,0
8118,New Delhi,Delhi,28.63576,77.22445,23534,pm25,µg/m³,0
6254666,"IGNOU_Maidan Garhi, Delhi - DPCC",Delhi,28.493624,77.201159,15554739,pm10,µg/m³,0
6254666,"IGNOU_Maidan Garhi, Delhi - DPCC",Delhi,28.493624,77.201159,15554740,pm25,µg/m³,0
6257818,"Cantonment Area, Delhi - DPCC",Delhi,28.594169,77.1251,15578289,o3,µg/m³,0
6257818,"Cantonment Area, Delhi - DPCC",Delhi,28.594169,77.1251,15578290,pm10,µg/m³,0
6257818,"Cantonment Area, Delhi - DPCC",Delhi,28.594169,77.1251,15578291,pm25,µg/m³,0
13,"Delhi Technological University, Delhi - CPCB",Delhi,28.744,77.12,13866,no2,µg/m³,0
13,"Delhi Technological University, Delhi - CPCB",Delhi,28.744,77.12,24,o3,µg/m³,0
13,"Delhi Technological University, Delhi - CPCB",Delhi,28.744,77.12,13864,pm25,µg/m³,0
17,"R K Puram, Delhi - DPCC",Delhi,28.563262,77.186937,392,co,µg/m³,0
