date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean,city
2015-01-01,21.3,12.0,0.0,8.9,68,Delhi
2015-01-02,17.2,14.2,4.2,11.2,83,Delhi
2015-01-03,17.9,14.0,0.1,9.0,84,Delhi
2015-01-04,19.1,10.9,0.0,13.5,78,Delhi
2015-01-05,20.7,9.6,0.0,27.0,74,Delhi
2015-01-06,20.6,10.5,0.0,21.7,75,Delhi
2015-01-07,18.1,10.0,0.0,11.3,79,Delhi
2015-01-08,19.6,6.9,0.0,9.4,80,Delhi
2015-01-09,18.7,6.3,0.0,9.4,83,Delhi
2015-01-10,18.1,7.4,0.0,13.8,81,Delhi
2015-01-11,18.1,6.9,0.0,11.8,84,Delhi
2015-01-12,17.7,6.0,0.0,9.7,87,Delhi
2015-01-13,17.6,6.6,0.0,12.2,87,Delhi
2015-01-14,16.8,10.1,4.1,19.7,85,Delhi
2015-01-15,18.3,7.7,0.0,8.3,84,Delhi
2015-01-16,19.5,7.7,0.0,9.3,78,Delhi
2015-01-17,20.3,8.1,0.0,9.9,79,Delhi
2015-01-18,20.4,7.7,0.0,8.7,76,Delhi
2015-01-19,19.7,6.2,0.0,8.3,75,Delhi
2015-01-20,19.2,6.3,0.0,12.4,79,Delhi
2015-01-21,16.3,9.9,3.8,17.0,81,Delhi
2015-01-22,15.6,11.2,17.0,14.1,87,Delhi
2015-01-23,17.9,11.1,0.0,9.6,83,Delhi
2015-01-24,17.4,10.9,0.0,11.8,80,Delhi
2015-01-25,17.5,9.2,0.0,9.2,75,Delhi
2015-01-26,18.1,8.1,0.0,9.0,74,Delhi
2015-01-27,17.7,8.9,0.0,15.1,69,Delhi
2015-01-28,17.2,6.9,0.0,15.1,74,Delhi
2015-01-29,17.8,4.8,0.0,16.8,68,Delhi
2015-01-30,18.7,5.4,0.0,18.7,66,Delhi
2015-01-31,19.9,7.7,0.0,16.0,65,Delhi
2015-02-01,20.7,7.0,0.0,9.9,74,Delhi
2015-02-02,21.7,11.0,1.2,21.0,75,Delhi
2015-02-03,21.9,13.3,13.2,19.5,78,Delhi
2015-02-04,19.9,10.0,0.0,14.6,86,Delhi
2015-02-05,20.5,9.2,0.0,13.5,76,Delhi
2015-02-06,20.7,7.1,0.0,9.2,72,Delhi
2015-02-07,22.1,7.8,0.0,8.7,69,Delhi
2015-02-08,22.3,9.8,2.1,9.0,73,Delhi
2015-02-09,23.1,10.0,0.0,14.1,71,Delhi
2015-02-10,22.1,9.5,0.0,14.5,67,Delhi
2015-02-11,22.0,7.9,0.0,9.4,64,Delhi
2015-02-12,22.1,8.6,0.0,13.3,69,Delhi
2015-02-13,24.3,9.7,0.0,16.6,63,Delhi
2015-02-14,26.5,11.4,0.0,9.4,63,Delhi
2015-02-15,25.4,11.2,0.0,7.9,71,Delhi
